dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6137, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.0, dropedge_rate: 0.0, alpha: 0.5, Loss: 1.0127, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.0, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.7291, TestAcc: 0.8500, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.0, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.7316, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.0, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.7445, TestAcc: 0.8520, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.0, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.7522, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.0, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.7677, TestAcc: 0.8530, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.7225, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6385, TestAcc: 0.8360, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6394, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6358, TestAcc: 0.8430, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6454, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6592, TestAcc: 0.8410, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.7203, TestAcc: 0.8500, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6300, TestAcc: 0.8400, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6310, TestAcc: 0.8410, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6334, TestAcc: 0.8410, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6414, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.2, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6473, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.7220, TestAcc: 0.8520, Overall
